ticker,name,sector,market_cap_category
ELUX-B.ST,AB Electrolux (publ),Information Technology,Mid Cap
EMB.ST,EMB Mission Bound AB (publ),Information Technology,Micro Cap
EMBELL.ST,Embellence Group AB (publ),Consumer Discretionary,Micro Cap
EMBRAC-B.ST,Embracer Group AB (publ),Communication Services,Large Cap
EMIL-B.ST,Fastighetsbolaget Emilshus AB Class B,Financials,Mid Cap
ENDURO.ST,Endur ASA,Industrials,Mid Cap
ENEA.ST,Enea AB (publ),Information Technology,Small Cap
ENERS.ST,Enersize Plc,Information Technology,Nano Cap
ENGCON-B.ST,engcon AB Class B,Industrials,Mid Cap
ENHO.ST,Sed Energy Holdings PLC,Industrials,Mid Cap
ENITY.ST,Enity Holding AB,Financials,Mid Cap
ENRO.ST,Eniro AB (publ),Communication Services,Nano Cap
ENSUO.ST,Ensurge Micropower ASA,Industrials,Small Cap
ENTRAO.ST,Entra ASA,Financials,Large Cap
ENVAR.ST,Envar Holding AB,Information Technology,Small Cap
ENZY.ST,Enzymatica AB,Health Care,Micro Cap
EOLU-B.ST,Eolus Vind AB (publ),Industrials,Small Cap
EOS.ST,EOS Russia,Financials,Nano Cap
EPEN.ST,Ependion AB,Information Technology,Mid Cap
EPI-A.ST,Epiroc AB (publ),Industrials,Large Cap
EPI-B.ST,Epiroc AB (publ),Industrials,Large Cap
EPIS-B.ST,Episurf Medical AB (publ),Health Care,Micro Cap
EPRO-B.ST,Electrolux Professional AB (publ),Consumer Discretionary,Small Cap
EPRO.ST,Europris ASA,Consumer Discretionary,Large Cap
EQL.ST,EQL Pharma AB,Health Care,Small Cap
EQNRO.ST,Equinor ASA,Energy,Large Cap
EQT.ST,EQT AB,Financials,Large Cap
EQVAO.ST,Eqva ASA,Industrials,Micro Cap
ERIC-A.ST,Telefonaktiebolaget LM Ericsson (publ),Information Technology,Large Cap
ERIC-B.ST,Telefonaktiebolaget LM Ericsson (publ),Information Technology,Large Cap
ERMA.ST,Enorama Pharma AB (publ),Health Care,Nano Cap
ESGR-B.ST,ES Group AB (publ) Class B,Industrials,Micro Cap
ESSITY-A.ST,Essity AB Class B,Consumer Staples,Large Cap
ESSITY-B.ST,Essity AB Class B,Consumer Staples,Large Cap
EURA.ST,Euroafrica Digital Ventures AB (publ),Information Technology,Nano Cap
EVO.ST,Evolution Gaming Group AB (publ),Consumer Discretionary,Large Cap
EWRK.ST,Ework Group AB (publ),Information Technology,Micro Cap
EXPRS2.ST,ExpreS2ion Biotech Holding AB,Health Care,Nano Cap
EXS.ST,Exsitec Holding AB,Information Technology,Micro Cap
FABG.ST,Fabege AB (publ),Real Estate,Mid Cap
FAG.ST,Fagerhult Group AB,Industrials,Mid Cap
FAGA.ST,Fantasma Games AB (publ),Communication Services,Nano Cap
FASTAT.ST,Aktiebolaget Fastator (publ),Real Estate,Micro Cap
FEEL.ST,Feelgood Svenska AB (publ),Health Care,Micro Cap
FERRO.ST,Ferroamp Elektronik AB (publ),Industrials,Micro Cap
FG.ST,Fasadgruppen Group AB,Industrials,Small Cap
FING-B.ST,Fingerprint Cards AB,Information Technology,Small Cap
FIRE.ST,Firefly AB (publ),Industrials,Nano Cap
FIRST-B.ST,First Venture Sweden AB Class B,Financials,Nano Cap
FLAT-B.ST,Flat Capital AB Class B,Financials,Mid Cap
FLERIE.ST,Flerie AB,Health Care,Small Cap
FLEXM.ST,Flexion Mobile Plc,Consumer Discretionary,Micro Cap
FLEXQ.ST,FlexQube AB (publ),Industrials,Nano Cap
FLOWS.ST,Flowscape Technology AB,Information Technology,Nano Cap
FLUI.ST,Fluicell AB,Health Care,Nano Cap
FLUO.ST,FluoGuide A/S,Health Care,Small Cap
FMM-B.ST,FM Mattsson Mora Group AB (publ),Industrials,Micro Cap
FNM.ST,Ferronordic AB (publ),Industrials,Small Cap
FNOVA-B.ST,Fortinova Fastigheter AB (Publ),Real Estate,Micro Cap
FOI-B.ST,Fenix Outdoor International AG Series B,Consumer Discretionary,Mid Cap
FOOT-B.ST,Footway Group AB (publ),Consumer Discretionary,Small Cap
FOOT-PREF.ST,Footway Group AB (publ),Consumer Discretionary,Small Cap
FPAR-A.ST,FastPartner AB (publ),Real Estate,Mid Cap
FPAR-D.ST,FastPartner AB (publ),Real Estate,Small Cap
FPAR-PREF.ST,FastPartner AB (publ),Real Estate,Small Cap
FPIP.ST,Formpipe Software AB (publ),Information Technology,Micro Cap
FRACTL.ST,Fractal Gaming Group AB (publ),Information Technology,Micro Cap
FRAG.ST,Fragbite Group AB,Information Technology,Nano Cap
FRAM-B.ST,Fram Skandinavien AB,Information Technology,Nano Cap
FREEM.ST,Freemelt Holding AB,Industrials,Micro Cap
FREJA.ST,Freja eID Group AB (publ),Information Technology,Nano Cap
FRILL-B.ST,Frill Holding AB (publ),Consumer Staples,Nano Cap
FRISQ.ST,FRISQ Holding AB (publ),Health Care,Nano Cap
FROO.ST,Frontline Plc,Industrials,Large Cap
FSPORT.ST,FSport AB,Information Technology,Nano Cap
G2M.ST,Gentoo Media Inc,Consumer Discretionary,Small Cap
G5EN.ST,G5 Entertainment AB,Communication Services,Small Cap
GABA.ST,Gabather AB,Health Care,Nano Cap
GAPW-B.ST,Gapwaves AB (publ),Information Technology,Micro Cap
GARO.ST,Garo Aktiebolag (publ),Industrials,Micro Cap
GBK.ST,Goodbye Kansas Group AB (publ),Communication Services,Nano Cap
GCOR.ST,Gaming Corps AB (publ),Communication Services,Nano Cap
GENI.ST,Generic Sweden AB,Information Technology,Micro Cap
GENO.ST,Genovis AB (publ.),Health Care,Small Cap
GENOO.ST,General Oceans ASA,Information Technology,Mid Cap
GETI-B.ST,Getinge AB,Health Care,Mid Cap
GGEO.ST,Guideline Geo AB (publ),Energy,Nano Cap
GHP.ST,GHP Specialty Care AB (publ),Health Care,Micro Cap
GHUS-B.ST,Gotenehus Group AB (publ),Industrials,Micro Cap
GIGA.ST,Gigasun AB,Utilities,Micro Cap
GJFO.ST,Gjensidige Forsikring ASA,Financials,Large Cap
GOMX.ST,GomSpace Group AB,Information Technology,Micro Cap
GOTL-A.ST,Rederiaktiebolaget Gotland Class A,Industrials,Mid Cap
GOTL-B.ST,Rederiaktiebolaget Gotland Class B,Industrials,Mid Cap
GPG-PREF.ST,Genova Property Group AB (publ),Real Estate,Small Cap
GPG.ST,Genova Property Group AB (publ),Real Estate,Small Cap
GPX.ST,Gasporox AB (publ),Information Technology,Nano Cap
GPXMED.ST,GPX Medical AB (publ),Health Care,Nano Cap
GRANGX.ST,Grangex AB,Materials,Small Cap
GREAT.ST,Greater Than AB,Information Technology,Micro Cap
GREEN.ST,Green Landscaping Group AB (publ),Industrials,Small Cap
GRNG.ST,Granges AB (publ),Materials,Small Cap
GSFO.ST,Grieg Seafood ASA,Materials,Mid Cap
GUARD.ST,Guard Therapeutics International AB (publ),Health Care,Nano Cap
GULD.ST,Guldbrev Holding AB,Industrials,Micro Cap
HACK.ST,Hacksaw AB,Information Technology,Large Cap
HAFNIO.ST,Hafnia Limited,Industrials,Large Cap
HAKI-A.ST,HAKI Safety AB Class A,Consumer Discretionary,Small Cap
HAKI-B.ST,HAKI Safety AB Class B,Consumer Discretionary,Small Cap
HANZA.ST,Hanza Holding AB (publ),Information Technology,Micro Cap
HAUTOO.ST,Hoegh Autoliners ASA,Industrials,Large Cap
HAV-B.ST,Havsfrun Investment AB (publ),Financials,Nano Cap
HAVIO.ST,Havila Shipping ASA,Industrials,Micro Cap
HAYPP.ST,Haypp Group AB,Industrials,Mid Cap
HBCO.ST,Hofseth Biocare ASA,Consumer Staples,Small Cap
HDW-B.ST,Hitech & Development Wireless Sweden Holding AB (publ),Information Technology,Nano Cap
HEART.ST,Scandinavian Real Heart AB,Health Care,Micro Cap
HEBA-B.ST,HEBA Fastighets AB (publ),Real Estate,Small Cap
HEGR.ST,Hedera Group AB (publ),Industrials,Nano Cap
HEIM-PREF.ST,Heimstaden AB (publ),Real Estate,Micro Cap
HELIO.ST,Heliospectra AB (publ),Industrials,Nano Cap
HEM.ST,Hemnet Group AB (publ),Communication Services,Mid Cap
HEMC.ST,Hemcheck Sweden AB (publ),Health Care,Nano Cap
HERNO-B.ST,Herno Gin AB Class B,Consumer Discretionary,Nano Cap
HEXA-B.ST,Hexagon AB,Information Technology,Mid Cap
